Gen, Top10AvgScore, TopScore, completionTime
1, 39.40037, 83.15863, -1
2, 54.60195, 79.35138, -1
3, 62.89428, 79.41609, -1
4, 59.08149, 99.69859, -1
5, 77.67132, 79.80793, -1
6, 79.54475, 79.80793, -1
7, 79.89471, 80.03649, -1
8, 80.41035, 81.716, -1
9, 95.86386, 114.3894, -1
10, 99.52036, 114.3894, -1
11, 101.7747, 114.3894, -1
12, 100.4365, 108.354, -1
13, 105.39, 108.9178, -1
14, 109.6556, 112.041, -1
15, 112.8807, 114.9174, -1
16, 115.5518, 119.0946, -1
17, 118.6811, 119.382, -1
18, 119.1901, 119.5991, -1
19, 119.7694, 120.3143, -1
20, 120.2098, 120.613, -1
21, 120.4579, 120.613, -1
22, 121.1641, 121.99, -1
23, 122.4095, 123.2404, -1
24, 123.0375, 123.307, -1
25, 123.1899, 123.4243, -1
26, 123.2579, 123.4243, -1
27, 126.0329, 136.1279, -1
28, 126.0329, 136.1279, -1
29, 132.228, 141.2729, -1
30, 136.7065, 137.3326, -1
31, 137.0559, 137.704, -1
32, 141.6341, 147.4424, -1
33, 141.9986, 145.6317, -1
34, 145.9866, 159.0985, -1
