Gen, Top10AvgScore, TopScore, completionTime
1, 37.36443, 48.1336, -1
2, 52.60127, 64.93919, -1
3, 59.31001, 65.50366, -1
4, 108.3408, 111.5495, -1
5, 66.13229, 66.71022, -1
6, 66.65555, 66.74422, -1
7, 66.7926, 67.08817, -1
8, 66.88413, 67.0928, -1
9, 111.5646, 111.5991, -1
10, 111.739, 111.8988, -1
11, 111.7536, 111.8988, -1
12, 111.8731, 111.9334, -1
13, 111.9057, 111.9334, -1
14, 111.9126, 111.9334, -1
15, 36.35305, 36.43451, -1
16, 36.6925, 37.71171, -1
17, 36.99152, 37.71171, -1
18, 37.42079, 37.71171, -1
19, 37.68353, 37.71171, -1
