Gen, Top10AvgScore, TopScore, completionTime
1, 29.12559, 42.98595, -1
2, 45.25954, 59.48499, -1
3, 43.39974, 59.19639, -1
4, 49.99198, 59.58746, -1
5, 49.60097, 56.16747, -1
6, 52.68737, 58.65265, -1
7, 52.25407, 56.50874, -1
8, 55.31737, 64.08488, -1
9, 68.33337, 108.9893, -1
10, 72.57499, 108.4652, -1
11, 78.15231, 108.7566, -1
12, 68.62407, 100.9747, -1
13, 78.65328, 104.9684, -1
14, 86.97986, 104.9684, -1
15, 120.4019, 147.2536, -1
16, 148.9584, 151.815, -1
17, 151.3539, 152.7859, -1
18, 152.0122, 153.5867, -1
19, 155.9102, 162.8918, -1
20, 162.5782, 166.3792, -1
21, 164.6336, 166.6342, -1
22, 240.403, 241.9702, -1
23, 242.6255, 249.401, -1
24, 249.432, 261.1444, -1
25, 263.0296, 283.553, -1
26, 266.014, 283.2273, -1
27, 270.2388, 284.6841, -1
28, 278.3849, 285.989, 19.97702
29, 0, 0, 19.97702
30, 284.2122, 286.7506, 20.35001
31, 0, 0, 20.35001
32, 284.3022, 286.8006, 19.92499
33, 0, 0, 19.92499
34, 285.031, 286.5623, 19.82501
35, 0, 0, 19.82501
36, 282.6366, 286.7232, 19.42499
37, 0, 0, 19.42499
38, 284.3091, 286.7423, 19.5
39, 0, 0, 19.5
40, 280.7493, 283.744, 19.05002
41, 0, 0, 19.05002
42, 280.5451, 284.0675, 19
43, 0, 0, 19
44, 279.3977, 285.1674, 18.75
45, 0, 0, 18.75
46, 282.1172, 284.415, 18.94998
47, 0, 0, 18.94998
48, 282.2552, 285.796, 19
49, 0, 0, 19
50, 279.8215, 284.1306, 18.60004
51, 0, 0, 18.60004
52, 282.1925, 283.913, 18.32495
53, 0, 0, 18.32495
54, 282.5318, 283.7397, 18.27502
55, 0, 0, 18.27502
56, 283.053, 284.0802, 18.27502
57, 0, 0, 18.27502
58, 282.2042, 283.913, 18.32495
59, 0, 0, 18.32495
60, 282.9317, 283.7331, 18.35004
61, 0, 0, 18.35004
62, 282.2355, 284.8603, 18.17499
63, 0, 0, 18.17499
64, 282.2266, 284.3714, 18.20001
65, 0, 0, 18.20001
66, 281.9641, 283.7131, 18.25
67, 0, 0, 18.25
68, 281.6887, 284.7669, 18.17499
69, 0, 0, 18.17499
70, 281.6808, 285.4527, 18
71, 0, 0, 18
72, 282.3394, 284.9471, 18.17499
73, 0, 0, 18.17499
74, 282.3813, 285.6096, 18.15002
75, 0, 0, 18.15002
76, 283.2906, 286.5864, 18.125
77, 0, 0, 18.125
78, 278.0368, 284.7133, 18.02496
79, 0, 0, 18.02496
80, 283.6402, 284.2283, 18.42505
81, 0, 0, 18.42505
82, 281.4874, 283.87, 18.32495
83, 0, 0, 18.32495
84, 281.6245, 284.965, 18.32501
85, 0, 0, 18.32501
86, 283.8502, 285.1771, 18.22504
87, 0, 0, 18.22504
88, 282.5079, 284.6098, 18.19995
89, 0, 0, 18.19995
90, 283.0516, 285.305, 18.125
91, 0, 0, 18.125
92, 283.6671, 286.197, 18.02502
93, 0, 0, 18.02502
94, 284.5531, 286.197, 18.02502
95, 0, 0, 18.02502
96, 286.197, 286.197, 18.02496
97, 0, 0, 18.02496
98, 286.197, 286.197, 18.02502
99, 0, 0, 18.02502
100, 286.197, 286.197, 18.02496
101, 0, 0, 18.02496
102, 286.197, 286.197, 18.02509
103, 0, 0, 18.02509
104, 286.197, 286.197, 18.0249
105, 0, 0, 18.0249
106, 283.1744, 285.4075, 18.17505
107, 0, 0, 18.17505
108, 283.3225, 284.5979, 18.32495
109, 0, 0, 18.32495
110, 282.0477, 285.5142, 18.05005
111, 0, 0, 18.05005
112, 282.3406, 285.9289, 17.80005
113, 0, 0, 17.80005
114, 283.435, 285.9289, 17.79993
115, 0, 0, 17.79993
116, 284.1994, 285.9289, 17.80005
117, 0, 0, 17.80005
118, 285.502, 285.9289, 17.79993
119, 0, 0, 17.79993
120, 285.9289, 285.9289, 17.80005
121, 0, 0, 17.80005
122, 285.9289, 285.9289, 17.80005
123, 0, 0, 17.80005
124, 285.9289, 285.9289, 17.79993
125, 0, 0, 17.79993
126, 285.9289, 285.9289, 17.80005
127, 0, 0, 17.80005
128, 285.9289, 285.9289, 17.79993
129, 0, 0, 17.79993
130, 285.9289, 285.9289, 17.80005
131, 0, 0, 17.80005
132, 285.9289, 285.9289, 17.80005
133, 0, 0, 17.80005
