Gen, Top10AvgScore, TopScore, completionTime
1, 18.70391, 22.17301, -1
2, 23.58873, 24.64081, -1
3, 30.77132, 39.9136, -1
4, 27.46799, 34.27023, -1
5, 33.99577, 34.29102, -1
6, 35.98407, 40.95211, -1
7, 36.81528, 40.99265, -1
8, 41.04565, 41.8777, -1
9, 41.25167, 41.89452, -1
10, 41.8887, 42.18238, -1
11, 42.26389, 42.5382, -1
12, 43.33914, 45.20473, -1
13, 45.13661, 45.20425, -1
14, 45.48745, 45.79466, -1
15, 45.90811, 46.28639, -1
16, 48.26048, 54.04514, -1
17, 48.79599, 53.95193, -1
18, 54.09308, 59.50304, -1
19, 59.44191, 62.22324, -1
20, 62.56223, 64.35874, -1
21, 70.10205, 77.54862, -1
22, 73.54811, 79.95833, -1
23, 80.7562, 82.0872, -1
24, 82.05919, 82.47958, -1
25, 82.38448, 83.35139, -1
26, 91.7093, 108.6173, -1
27, 102.9956, 108.6653, -1
28, 108.899, 112.3544, -1
29, 109.1803, 111.1413, -1
30, 111.9564, 113.5026, -1
31, 124.683, 128.9276, -1
