Gen, Top10AvgScore, TopScore, completionTime
1, 33.72946, 41.01757, -1
2, 30.30714, 37.39545, -1
3, 36.31406, 52.23761, -1
4, 46.88649, 55.71347, -1
5, 74.77828, 89.376, -1
6, 82.47026, 94.35204, -1
7, 77.58611, 87.10949, -1
8, 75.85564, 84.56586, -1
9, 50.7429, 87.49901, -1
10, 61.26279, 86.45527, -1
11, 77.97829, 82.73457, -1
12, 92.01386, 124.303, -1
13, 100.6237, 124.2648, -1
14, 108.2429, 124.303, -1
15, 94.32858, 113.6261, -1
16, 112.3333, 113.4713, -1
17, 115.8609, 118.6867, -1
18, 114.714, 118.204, -1
19, 117.4004, 118.5905, -1
20, 118.0745, 118.7344, -1
21, 117.4482, 118.6264, -1
22, 59.77245, 120.7297, -1
23, 39.42919, 39.53462, -1
24, 39.65333, 39.78877, -1
25, 41.32094, 46.62822, -1
26, 53.55627, 87.90744, -1
27, 63.79446, 87.91035, -1
28, 75.7897, 88.23167, -1
29, 85.59416, 88.95318, -1
30, 105.7765, 160.0974, -1
31, 110.7178, 180.9708, -1
32, 111.0059, 180.5919, -1
33, 111.4878, 180.4189, -1
34, 104.1254, 150.8241, -1
35, 108.1495, 151.694, -1
36, 89.01526, 90.15486, -1
37, 89.26312, 90.15486, -1
38, 89.41219, 90.15486, -1
39, 89.92748, 92.12777, -1
40, 113.5208, 184.5303, -1
41, 114.1848, 185.153, -1
