Gen, Top10AvgScore, TopScore, completionTime
1, 40.34466, 55.93843, -1
2, 47.21515, 55.40003, -1
3, 57.38049, 70.91396, -1
4, 63.69709, 71.15849, -1
5, 86.01912, 109.9192, -1
6, 110.0388, 110.996, -1
7, 156.6202, 160.5922, -1
8, 165.71, 169.3926, -1
9, 169.5946, 170.0735, -1
10, 170.1076, 170.2994, -1
11, 265.3451, 270.9431, -1
12, 269.4808, 270.9431, -1
13, 272.0526, 286.4651, 21.70711
14, 0, 0, 21.70711
15, 280.3838, 285.2558, 21.925
16, 0, 0, 21.925
17, 283.202, 285.6409, 21.8
18, 0, 0, 21.8
19, 281.5395, 285.5266, 21.325
20, 0, 0, 21.325
21, 284.6833, 285.8292, 21.45001
22, 0, 0, 21.45001
23, 273.5852, 285.788, 20.54999
24, 0, 0, 20.54999
25, 280.7049, 285.788, 20.55002
26, 0, 0, 20.55002
27, 280.2224, 285.3832, 20.02499
28, 0, 0, 20.02499
29, 285.6497, 285.8095, 20.54999
30, 0, 0, 20.54999
31, 282.4162, 285.7372, 20.17502
32, 0, 0, 20.17502
33, 281.2714, 284.8942, 20.07498
34, 0, 0, 20.07498
35, 283.5406, 285.2078, 20.125
36, 0, 0, 20.125
37, 283.3605, 285.2078, 20.125
38, 0, 0, 20.125
39, 283.5406, 285.2078, 20.125
40, 0, 0, 20.125
41, 284.3102, 285.1697, 20.25
42, 0, 0, 20.25
43, 282.5245, 284.8942, 20.07501
44, 0, 0, 20.07501
45, 284.8962, 285.8027, 20.375
46, 0, 0, 20.375
47, 285.3977, 285.9596, 20.34998
48, 0, 0, 20.34998
49, 283.3463, 285.4217, 20.10004
50, 0, 0, 20.10004
51, 285.715, 285.9596, 20.34998
52, 0, 0, 20.34998
53, 285.3905, 285.9596, 20.35004
54, 0, 0, 20.35004
55, 282.9211, 284.817, 20.04999
56, 0, 0, 20.04999
57, 283.0244, 285.0708, 20.09998
58, 0, 0, 20.09998
59, 284.242, 285.4928, 20.07501
60, 0, 0, 20.07501
61, 283.5272, 285.1148, 20.04999
62, 0, 0, 20.04999
63, 284.0299, 285.3708, 20
64, 0, 0, 20
65, 284.2216, 285.6822, 20.25
66, 0, 0, 20.25
67, 284.8492, 285.6822, 20.22504
68, 0, 0, 20.22504
69, 285.6822, 285.6822, 20.25
70, 0, 0, 20.25
71, 283.7831, 284.1172, 20.04999
72, 0, 0, 20.04999
73, 284.5597, 285.0764, 20.07501
74, 0, 0, 20.07501
75, 284.8508, 285.0803, 20.02496
76, 0, 0, 20.02496
77, 284.8112, 284.9604, 20
78, 0, 0, 20
