Gen, Top10AvgScore, TopScore, completionTime
1, 36.33099, 44.41819, -1
2, 38.78116, 54.28789, -1
3, 55.26168, 72.76216, -1
4, 57.3688, 72.15891, -1
5, 60.13876, 73.31551, -1
6, 70.15576, 71.54461, -1
7, 79.30904, 79.47365, -1
8, 76.5995, 80.12658, -1
9, 100.2007, 100.3231, -1
10, 101.0008, 102.6151, -1
11, 102.9283, 103.8908, -1
12, 102.6786, 102.8693, -1
13, 103.0437, 103.3724, -1
14, 103.7626, 104.8434, -1
15, 103.612, 124.0149, -1
16, 123.8343, 127.9571, -1
17, 125.4431, 128.3437, -1
18, 125.8653, 131.0568, -1
19, 130.1793, 132.6215, -1
20, 141.8534, 145.5168, -1
21, 141.6382, 143.0057, -1
22, 53.97465, 54.0742, -1
23, 81.42448, 163.7166, -1
24, 159.5149, 164.1801, -1
25, 163.1556, 165.144, -1
26, 163.6386, 164.9988, -1
27, 164.378, 164.603, -1
28, 164.3426, 164.6507, -1
29, 54.08072, 54.15105, -1
30, 106.2687, 165.4822, -1
31, 162.505, 165.4516, -1
32, 185.7384, 212.0761, -1
33, 183.4302, 212.4081, -1
34, 182.4728, 199.6521, -1
35, 182.1406, 198.9736, -1
36, 218.4128, 235.9161, -1
37, 230.0695, 236.6447, -1
38, 240.7442, 243.3733, -1
39, 239.8179, 243.0286, -1
40, 240.4565, 241.7857, -1
41, 239.6754, 242.6833, -1
42, 244.2339, 245.3117, -1
43, 283.3882, 284.1494, 33.95807
44, 0, 0, 33.95807
45, 248.187, 259.0183, 33.95807
46, 261.2122, 263.7059, 33.95807
47, 258.894, 264.5643, 33.95807
