Gen, Top10AvgScore, TopScore, completionTime
1, 42.2734, 56.59061, -1
2, 50.20948, 58.47248, -1
3, 52.45484, 58.59703, -1
4, 60.59086, 67.32798, -1
5, 62.47504, 67.32798, -1
6, 65.31979, 67.65727, -1
7, 65.53333, 67.32798, -1
8, 65.98111, 67.32798, -1
9, 112.4719, 121.7714, -1
10, 121.0673, 121.5296, -1
11, 121.5361, 122.1113, -1
12, 121.3409, 121.8662, -1
13, 121.6996, 122.1113, -1
14, 121.5969, 121.8662, -1
15, 183.1559, 183.1559, -1
16, 182.9269, 182.9269, -1
17, 182.9269, 182.9269, -1
18, 183.1559, 183.1559, -1
19, 183.1559, 183.1559, -1
20, 183.1559, 183.1559, -1
21, 182.9269, 182.9269, -1
22, 234.2551, 234.2551, -1
23, 238.323, 238.323, -1
24, 234.2551, 234.2551, -1
25, 238.323, 238.323, -1
26, 234.2551, 234.2551, -1
27, 238.323, 238.323, -1
28, 234.2551, 234.2551, -1
29, 286.3983, 286.3983, 23.45389
30, 0, 0, 23.45389
31, 284.9929, 286.3883, 23.72498
32, 0, 0, 23.72498
33, 284.821, 286.3883, 23.72501
34, 0, 0, 23.72501
35, 284.6826, 286.4203, 23.625
36, 0, 0, 23.625
37, 284.0202, 286.6749, 23.45001
38, 0, 0, 23.45001
39, 284.6355, 286.6749, 23.44998
40, 0, 0, 23.44998
41, 285.2536, 286.6749, 23.45001
42, 0, 0, 23.45001
43, 277.1107, 286.4776, 22.27499
44, 0, 0, 22.27499
45, 285.7571, 286.7226, 22.27502
46, 0, 0, 22.27502
47, 285.8345, 286.4617, 22.17499
48, 0, 0, 22.17499
49, 285.9409, 286.4617, 22.17499
50, 0, 0, 22.17499
51, 282.4147, 286.3334, 21.52502
52, 0, 0, 21.52502
53, 285.1766, 286.3465, 21.47498
54, 0, 0, 21.47498
